DIVISION,TM,SEASON,POSSESSIONS,PTS
Pacific,LAL,2010-11,7494,8321
Pacific,LAL,2011-12,6060,6422
Pacific,LAL,2012-13,7738,8381
Pacific,LAL,2013-14,8101,8442
Pacific,LAL,2014-15,7800,8073
Pacific,LAL,2015-16,7853,7982
Pacific,LAL,2016-17,8066,8575
Pacific,LAL,2017-18,8247,8862
Pacific,LAL,2018-19,8445,9165
Pacific,LAL,2019-20,7129,8054
Pacific,LAL,2020-21,7099,7887
Pacific,LAL,2021-22,8282,9192
Pacific,LAL,2022-23,8351,9608
Southwest,MEM,2000-01,7598,7522
Southwest,MEM,2001-02,7544,7372
Southwest,MEM,2002-03,7712,7995
Southwest,MEM,2003-04,7580,7930
Southwest,MEM,2004-05,7276,7661
Southwest,MEM,2005-06,7142,7558
Southwest,MEM,2006-07,7795,8331
Southwest,MEM,2007-08,7844,8257
Southwest,MEM,2008-09,7444,7698
Southwest,MEM,2009-10,7732,8404
Southwest,MEM,2010-11,7562,8195
Southwest,MEM,2011-12,6022,6269
Southwest,MEM,2012-13,7312,7659
Southwest,MEM,2013-14,7389,7884
Southwest,MEM,2014-15,7601,8062
Southwest,MEM,2015-16,7688,8126
Southwest,MEM,2016-17,7621,8239
Southwest,MEM,2017-18,7738,8145
Southwest,MEM,2018-19,7939,8490
Southwest,MEM,2019-20,7482,8222
Southwest,MEM,2020-21,7229,8157
Southwest,MEM,2021-22,8190,9480
Southwest,MEM,2022-23,8271,9587
Southwest,NOP,2000-01,NA,NA
Southwest,NOP,2001-02,NA,NA
Southwest,NOP,2002-03,7449,7699
Southwest,NOP,2003-04,7405,7529
Southwest,NOP,2004-05,7299,7252
Southwest,NOP,2005-06,7364,7611
Southwest,NOP,2006-07,7473,7833
Southwest,NOP,2007-08,7437,8270
Southwest,NOP,2008-09,7237,7857
Southwest,NOP,2009-10,7656,8220
Southwest,NOP,2010-11,7309,7784
Southwest,NOP,2011-12,5864,5916
Southwest,NOP,2012-13,7288,7714
Southwest,NOP,2013-14,7608,8177
