Player,Season,Record,TM,GP,W,L,MIN_PLAYED,PTS,POSS,TCHS,FRONT_CT_TCHS,POSS_TIME,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TCH,PTS_PER_TCH,ELBOW_CT_TCHS,POST_UPS,PAINT_TCHS,PTS_PER_ELB_TCH,PTS_PER_POST_TCH,PTS_PER_PAINT_TCH
Sam Hauser,2021-22,51-31,BOS,26,20,6,158,65,7989,227,131,6,1.57,0.62,0.286,2,0,4,1,0,1
Grant Williams,2021-22,51-31,BOS,76,49,27,1860,602,7989,2091,1202,55,1.59,0.56,0.288,30,30,132,0.933,0.833,0.962
Romeo Langford,2021-22,51-31,BOS,44,22,22,728,207,7989,683,421,22,1.9,1.08,0.303,14,1,43,0.286,3,0.884
Nik Stauskas,2021-22,51-31,BOS,6,6,0,15,7,7989,22,15,1,2.8,1.86,0.318,0,0,0,0,0,0
Daniel Theis,2021-22,51-31,BOS,21,16,5,393,166,7989,511,325,12,1.44,0.34,0.325,23,4,91,0.609,0.75,1.011
Matt Ryan,2021-22,51-31,BOS,1,1,0,5,3,7989,9,8,0,1.25,0.56,0.333,0,0,0,0,0,0
Jabari Parker,2021-22,51-31,BOS,12,4,8,112,53,7989,158,83,5,1.87,1.08,0.335,7,3,9,0.857,0.667,1.222
Jayson Tatum,2021-22,51-31,BOS,75,49,26,2691,2010,7989,5533,3181,349,3.78,2.76,0.363,131,127,167,0.718,0.575,0.994
Malik Fitts,2021-22,51-31,BOS,8,7,1,28,15,7989,39,24,2,2.66,1.23,0.385,1,0,1,0,0,0
Jaylen Brown,2021-22,51-31,BOS,65,43,22,2186,1543,7989,3914,2372,215,3.3,2.6,0.394,94,89,135,0.798,0.539,1.015
Joe Johnson,2021-22,51-31,BOS,1,1,0,2,2,7989,5,3,1,5.41,5.2,0.4,0,0,0,0,0,0
Justin Jackson,2021-22,51-31,BOS,1,1,0,2,2,7989,1,1,0,1.52,1,2,0,0,0,0,0,0
Al Horford,2022-23,57-25,BOS,63,44,19,1921,616,8171,2880,1599,74,1.53,0.48,0.214,71,57,170,0.268,0.386,0.553
Blake Griffin,2022-23,57-25,BOS,41,27,14,569,170,8171,842,510,24,1.68,0.65,0.202,46,14,89,0.587,0.571,0.753
